reaction,direction,reaction_def
R00146_v1,reverse,C00161 + C00014 + C00005 + C00080 + Z00029 + C00161 + C00014 + C00005 + C00080 + Z00035 + C00161 + C00014 + C00005 + C00080 + Z00055 => C05167 + C00001 + C00006 + Z00029 + C05167 + C00001 + C00006 + Z00035 + C05167 + C00001 + C00006 + Z00055
R00148_v1,forward,C00014 + C00007 + C00390 + Z00070 + Z00015 + Z00022 => C00192 + C00001 + C00399 + Z00070 + Z00015 + Z00022
R00149_v1,forward,2C00002 + C00014 + C00011 + C00001 + Z00030 => 2C00008 + C00009 + C00169 + Z00030
R00149_v1,reverse,2C00008 + C00009 + C00169 + Z00030 => 2C00002 + C00014 + C00011 + C00001 + Z00030
R00150,forward,C00002 + C00014 + C00288 => C00008 + C00169 + C00001
R00150,reverse,C00008 + C00169 + C00001 => C00002 + C00014 + C00288
R00152,forward,2C00001 + C01326 => C00014 + C00058
R00153_v1,reverse,2C00014 + Z00015 + C01251 + Z00002 + Z00064 + Z00029 => 2C05359 + 2C00080 + C05361 + Z00015 + C01251 + Z00002 + Z00064 + Z00029
R00155_v1,forward,C00015 + C00001 + Z00055 + C00015 + C00001 + Z00030 => C00105 + C00009 + Z00055 + C00105 + C00009 + Z00030
R00155_v1,reverse,C00105 + C00009 + Z00055 + C00105 + C00009 + Z00030 => C00015 + C00001 + Z00055 + C00015 + C00001 + Z00030
R00155_v2,forward,C00015 + C00001 + Z00029 + C00015 + C00001 + Z00055 => C00105 + C00009 + Z00029 + C00105 + C00009 + Z00055
R00155_v2,reverse,C00105 + C00009 + Z00029 + C00105 + C00009 + Z00055 => C00015 + C00001 + Z00029 + C00015 + C00001 + Z00055
R00155_v3,forward,C00015 + C00001 + Z00029 => C00105 + C00009 + Z00029
R00155_v3,reverse,C00105 + C00009 + Z00029 => C00015 + C00001 + Z00029
R00155_v4,forward,C00015 + C00001 + Z00069 => C00105 + C00009 + Z00069
R00155_v4,reverse,C00105 + C00009 + Z00069 => C00015 + C00001 + Z00069
R00156_v1,forward,C00002 + C00015 + Z00029 => C00008 + C00075 + Z00029
R00156_v1,reverse,C00008 + C00075 + Z00029 => C00002 + C00015 + Z00029
R00157,forward,C00075 + C00020 => C00015 + C00008
R00157,reverse,C00015 + C00008 => C00075 + C00020
R00158_v1,forward,C00002 + C00105 + Z00029 => C00008 + C00015 + Z00029
R00158_v1,reverse,C00008 + C00015 + Z00029 => C00002 + C00105 + Z00029
R00159_v1,forward,C00075 + C00001 + Z00030 => C00015 + C00009 + Z00030
R00159_v1,reverse,C00015 + C00009 + Z00030 => C00075 + C00001 + Z00030
R00159_v2,forward,C00075 + C00001 + Z00055 => C00015 + C00009 + Z00055
R00159_v2,reverse,C00015 + C00009 + Z00055 => C00075 + C00001 + Z00055
R00159_v3,forward,C00075 + C00001 + Z00029 => C00015 + C00009 + Z00029
R00159_v3,reverse,C00015 + C00009 + Z00029 => C00075 + C00001 + Z00029
R00159_v4,forward,C00075 + C00001 + Z00069 => C00015 + C00009 + Z00069
R00159_v4,reverse,C00015 + C00009 + Z00069 => C00075 + C00001 + Z00069
R00160_v1,forward,C00016 + C00001 + Z00030 => C00020 + C00061 + Z00030
R00160_v1,reverse,C00020 + C00061 + Z00030 => C00016 + C00001 + Z00030
R00160_v2,forward,C00016 + C00001 + Z00029 => C00020 + C00061 + Z00029
R00160_v2,reverse,C00020 + C00061 + Z00029 => C00016 + C00001 + Z00029
R00160_v3,forward,C00016 + C00001 + Z00069 => C00020 + C00061 + Z00069
R00160_v3,reverse,C00020 + C00061 + Z00069 => C00016 + C00001 + Z00069
R00161_v1,forward,C00002 + C00061 + Z00006 => C00013 + C00016 + Z00006
R00161_v1,reverse,C00013 + C00016 + Z00006 => C00002 + C00061 + Z00006
R00161_v2,forward,C00002 + C00061 + Z00029 => C00013 + C00016 + Z00029
R00161_v2,reverse,C00013 + C00016 + Z00029 => C00002 + C00061 + Z00029
R00161_v3,forward,C00002 + C00061 + Z00069 => C00013 + C00016 + Z00069
R00161_v3,reverse,C00013 + C00016 + Z00069 => C00002 + C00061 + Z00069
